GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
3627	9.71e-181	6.30e-185	0.332	29.001515	9.637808	8694.5	CXCL10	C-X-C motif chemokine ligand 10
29126	3.96e-123	5.14e-127	0.254	23.974451	6.0978052	618.2	CD274	CD274 molecule
2634	8.59e-118	1.67e-121	0.126	23.439991	2.949831	5300.44	GBP2	guanylate binding protein 2
4283	7.58e-115	1.97e-118	0.464	23.136955	10.7381559	2258.18	CXCL9	C-X-C motif chemokine ligand 9
2633	1.32e-100	4.28e-104	0.198	21.666179	4.286656	6325.7	GBP1	guanylate binding protein 1
3659	2.33e-95	9.07e-99	0.138	21.093805	2.9025479	11096.71	IRF1	interferon regulatory factor 1
112268267	5.77e-92	2.62e-95	0.143	20.713455	2.9614594	1535.04	LOC112268267	uncharacterized LOC112268267
115361	1.96e-91	1.01e-94	0.341	20.648141	7.0315756	6802.32	GBP4	guanylate binding protein 4
7453	8.64e-78	5.05e-81	0.307	19.063808	5.858282	27491.03	WARS1	tryptophanyl-tRNA synthetase 1
3620	5.26e-74	3.41e-77	0.698	18.596797	12.9729723	7462.26	IDO1	indoleamine 2,3-dioxygenase 1
8542	9.51e-65	6.79e-68	0.16	17.411187	2.7863763	3571.89	APOL1	apolipoprotein L1
10068	3.27e-64	2.55e-67	0.291	17.335351	5.0405351	860.26	IL18BP	interleukin 18 binding protein
10906	2.54e-62	2.14e-65	0.135	17.078639	2.302775	2992.64	TRAFD1	TRAF-type zinc finger domain containing 1
100507463	8.64e-58	7.85e-61	0.187	16.454021	3.0801734	1803.89	PSMB8-AS1	PSMB8 antisense RNA 1 (head to head)
3437	9.67e-57	9.41e-60	0.266	16.302924	4.3318125	2486.66	IFIT3	interferon induced protein with tetratricopeptide repeats 3
6890	1.89e-56	1.96e-59	0.184	16.257995	2.990673	17604.46	TAP1	transporter 1, ATP binding cassette subfamily B member
94240	9.96e-50	1.10e-52	0.258	15.276398	3.9382882	893.31	EPSTI1	epithelial stromal interaction 1
51513	8.89e-49	1.04e-51	0.205	15.129267	3.1020706	887.81	ETV7	ETS variant transcription factor 7
51056	6.84e-48	8.43e-51	0.215	14.99085	3.2228798	8238.02	LAP3	leucine aminopeptidase 3
10437	2.00e-47	2.60e-50	0.216	14.915894	3.2237099	4096.43	IFI30	IFI30 lysosomal thiol reductase
8519	1.09e-43	1.48e-46	0.28	14.327166	4.0123369	2210.41	IFITM1	interferon induced transmembrane protein 1
10384	2.77e-42	3.95e-45	0.173	14.09728	2.4377469	724.63	BTN3A3	butyrophilin subfamily 3 member A3
115362	8.85e-42	1.32e-44	0.811	14.011796	11.3642238	1158.26	GBP5	guanylate binding protein 5
6772	2.78e-41	4.33e-44	0.223	13.927126	3.1116371	8037.5	STAT1	signal transducer and activator of transcription 1
5366	4.07e-41	6.60e-44	0.206	13.897018	2.8592102	894.98	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
219285	1.33e-39	2.24e-42	0.218	13.6424	2.9685745	3545.82	SAMD9L	sterile alpha motif domain containing 9 like
81030	5.84e-39	1.02e-41	0.356	13.531266	4.8169394	1172.87	ZBP1	Z-DNA binding protein 1
6373	2.98e-38	5.42e-41	0.353	13.408115	4.7269753	10325.92	CXCL11	C-X-C motif chemokine ligand 11
717	2.47e-36	4.64e-39	0.349	13.073856	4.5677651	244.21	C2	complement C2
4261	1.23e-35	2.40e-38	0.341	12.948416	4.4169076	2191.81	CIITA	class II major histocompatibility complex transactivator
4939	1.38e-34	2.77e-37	0.415	12.759139	5.2940201	1240.11	OAS2	2'-5'-oligoadenylate synthetase 2
3113	2.76e-32	5.74e-35	0.508	12.33685	6.2693834	476.08	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
6891	4.67e-30	1.00e-32	0.224	11.914043	2.6670122	7075.2	TAP2	transporter 2, ATP binding cassette subfamily B member
1358	2.12e-29	4.68e-32	0.422	11.784793	4.9692005	322.79	CPA2	carboxypeptidase A2
145864	3.59e-29	8.16e-32	0.462	11.73778	5.4222078	533.49	HAPLN3	hyaluronan and proteoglycan link protein 3
9235	9.04e-28	2.11e-30	0.156	11.459334	1.7839505	40745.48	IL32	interleukin 32
10537	9.25e-28	2.22e-30	0.276	11.454956	3.1626719	37848.36	UBD	ubiquitin D
10964	1.05e-27	2.59e-30	0.482	11.441716	5.51716	156.72	IFI44L	interferon induced protein 44 like
100419583	2.70e-27	6.84e-30	0.235	11.357072	2.673803	1413.25	LOC100419583	ring finger protein 4 pseudogene
23586	2.87e-27	7.63e-30	0.144	11.347484	1.6383693	986.41	RIGI	RNA sensor RIG-I
112268296	2.87e-27	7.61e-30	0.258	11.347737	2.9282979	254.96	LOC112268296	
129607	4.16e-27	1.15e-29	0.335	11.311438	3.7909238	1097.64	CMPK2	cytidine/uridine monophosphate kinase 2
3133	4.16e-27	1.16e-29	0.187	11.310897	2.1097477	31664.06	HLA-E	major histocompatibility complex, class I, E
3109	4.78e-27	1.36e-29	0.418	11.296606	4.7216729	838.43	HLA-DMB	major histocompatibility complex, class II, DM beta
24138	1.86e-26	5.42e-29	0.155	11.174746	1.7276173	712.03	IFIT5	interferon induced protein with tetratricopeptide repeats 5
9636	6.52e-26	1.95e-28	0.379	11.06071	4.1965625	3977.21	ISG15	ISG15 ubiquitin like modifier
4843	5.10e-25	1.55e-27	0.651	10.872774	7.0730552	13042.88	NOS2	nitric oxide synthase 2
116071	1.23e-23	3.82e-26	0.27	10.576744	2.8523494	3927.63	BATF2	basic leucine zipper ATF-like transcription factor 2
728588	6.45e-23	2.05e-25	0.646	10.418104	6.7293357	166.79	MS4A18	membrane spanning 4-domains A18
64386	2.25e-22	7.30e-25	0.337	10.296658	3.4657055	389.7	MMP25	matrix metallopeptidase 25
4599	3.37e-22	1.11e-24	0.259	10.255791	2.6552658	4684.45	MX1	MX dynamin like GTPase 1
4940	8.28e-22	2.79e-24	0.256	10.166727	2.6007575	6287.59	OAS3	2'-5'-oligoadenylate synthetase 3
3601	1.33e-21	4.56e-24	0.222	10.118738	2.2438336	582.25	IL15RA	interleukin 15 receptor subunit alpha
60489	1.45e-21	5.07e-24	0.421	10.108426	4.2539773	85.17	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G
6398	1.32e-20	4.71e-23	0.409	9.887536	4.0393622	19885.02	SECTM1	secreted and transmembrane 1
684	3.15e-20	1.14e-22	0.484	9.798363	4.741704	242.59	BST2	bone marrow stromal cell antigen 2
64135	4.76e-20	1.76e-22	0.191	9.754851	1.8644459	1386.95	IFIH1	interferon induced with helicase C domain 1
6376	8.91e-20	3.35e-22	0.513	9.689225	4.9739017	10225.97	CX3CL1	C-X3-C motif chemokine ligand 1
3717	1.07e-19	4.09e-22	0.182	9.668743	1.7624617	1086	JAK2	Janus kinase 2
9246	1.22e-19	4.74e-22	0.372	9.653673	3.5936044	2616.54	UBE2L6	ubiquitin conjugating enzyme E2 L6
54625	1.83e-19	7.24e-22	0.218	9.610244	2.0978393	7812.01	PARP14	poly(ADP-ribose) polymerase family member 14
