GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
260293	6.54e-15	4.21e-19	0.2443	8.9311796	2.18165297	235.98	CYP4X1	cytochrome P450 family 4 subfamily X member 1
646962	6.95e-15	8.96e-19	0.2293	-8.8474132	-2.02878055	255.94	HRCT1	histidine rich carboxyl terminus 1
116092	1.97e-11	3.82e-15	0.1624	7.8607827	1.27651353	1434.78	DNTTIP1	deoxynucleotidyltransferase terminal interacting protein 1
3604	1.30e-10	3.35e-14	0.3045	7.5841266	2.30974109	1057.83	TNFRSF9	TNF receptor superfamily member 9
9666	1.76e-10	5.68e-14	0.2057	7.5153485	1.54605041	472.78	DZIP3	DAZ interacting zinc finger protein 3
10308	2.46e-10	9.53e-14	0.1259	7.447263	0.93749312	296.47	ZNF267	zinc finger protein 267
25932	2.66e-10	1.37e-13	0.1372	7.3996589	1.01501776	1875.51	CLIC4	chloride intracellular channel 4
23531	2.66e-10	1.37e-13	0.1374	7.3993009	1.0164541	500.78	MMD	monocyte to macrophage differentiation associated
7039	1.71e-08	1.08e-11	0.116	6.7948872	0.78798161	2578.28	TGFA	transforming growth factor alpha
1556	1.71e-08	1.10e-11	0.3014	6.79221	2.04743572	2082	CYP2B7P	cytochrome P450 family 2 subfamily B member 7, pseudogene
7111	2.95e-08	2.09e-11	0.2021	6.6993913	1.35368455	618.7	TMOD1	tropomodulin 1
718	3.32e-08	2.57e-11	0.5794	6.6694734	3.86425582	401.08	C3	complement C3
83715	4.48e-07	4.62e-10	0.1881	-6.231502	-1.17198961	890.9	ESPN	espin
3656	4.48e-07	4.36e-10	0.174	6.2406841	1.08556785	2810	IRAK2	interleukin 1 receptor associated kinase 2
5104	4.48e-07	3.88e-10	0.3093	6.2588604	1.93580411	84.95	SERPINA5	serpin family A member 5
3909	4.48e-07	4.17e-10	0.1882	6.2475185	1.17586104	21197.39	LAMA3	laminin subunit alpha 3
117177	6.27e-07	6.87e-10	0.1028	6.1689772	0.63417436	1063.57	RAB3IP	RAB3A interacting protein
196410	6.66e-07	7.77e-10	0.2286	-6.1495973	-1.40607416	935.48	METTL7B	methyltransferase like 7B
65264	6.66e-07	8.15e-10	0.1125	6.1419544	0.6907256	4957.91	UBE2Z	ubiquitin conjugating enzyme E2 Z
10537	9.07e-07	1.23e-09	0.2973	6.076662	1.80629702	17918.67	UBD	ubiquitin D
